"Designator","X(mm)","Y(mm)","Side","Rotation"
"C1","41.96","23.98","Top","270"
"C2","47.33","23.94","Top","270"
"C3","49.87","17.89","Top","270"
"C4","49.87","23.94","Top","270"
"C5","54.95","17.89","Top","270"
"C6","57.39","24.15","Top","270"
"C7","76.54","32.02","Top","270"
"C8","68.29","32.02","Top","270"
"C9","72.73","17.89","Top","270"
"C10","70.19","23.94","Top","270"
"C11","80.10","64.34","Top","0"
"C12","80.11","48.77","Top","0"
"C13","91.45","87.74","Top","270"
"C15","61.61","88.23","Top","270"
"C18","19.39","31.38","Top","270"
"C19","38.75","42.35","Top","270"
"C20","41.92","42.35","Top","270"
"C23","25.35","31.62","Top","0"
"C24","90.91","15.44","Top","0"
"C25","75.27","23.94","Top","270"
"C26","62.57","17.89","Top","270"
"C27","60.03","23.94","Top","270"
"C28","67.65","17.89","Top","270"
"C29","65.11","23.94","Top","270"
"C16","56.11","88.53","Top","90"
"R1","31.85","23.06","Top","0"
"R2","44.79","23.94","Top","270"
"R3","31.85","20.52","Top","0"
"R4","52.41","23.94","Top","270"
"R6","54.95","23.94","Top","270"
"R7","87.26","31.04","Top","0"
"R8","72.49","31.04","Top","0"
"R9","44.16","81.41","Top","270"
"R10","44.16","89.98","Top","270"
"R11","41.62","81.39","Top","270"
"R12","41.62","89.98","Top","270"
"R13","27.32","89.98","Top","270"
"R14","27.32","81.39","Top","270"
"R15","24.47","89.98","Top","270"
"R16","24.47","81.39","Top","270"
"R21","79.72","32.02","Top","270"
"R22","72.73","23.94","Top","270"
"R23","86.94","55.75","Top","0"
"R24","86.94","58.29","Top","0"
"R25","70.75","60.83","Top","0"
"R27","70.75","55.75","Top","0"
"R29","86.94","39.88","Top","0"
"R30","86.94","42.42","Top","0"
"R31","70.75","39.88","Top","0"
"R32","70.75","44.96","Top","0"
"R35","86.94","60.83","Top","0"
"R36","86.94","44.96","Top","0"
"R37","86.94","53.21","Top","0"
"R38","86.94","37.34","Top","0"
"R39","78.05","11.00","Top","0"
"R40","82.98","11.00","Top","0"
"R41","26.68","36.94","Top","270"
"R48","41.92","66.03","Top","270"
"R49","24.47","66.03","Top","270"
"R50","41.92","71.22","Top","270"
"R51","24.47","71.21","Top","270"
"R54","34.24","35.98","Top","0"
"R55","33.36","66.01","Top","270"
"R56","50.51","66.03","Top","270"
"R57","33.36","71.22","Top","270"
"R58","50.51","71.22","Top","270"
"R59","90.91","23.37","Top","0"
"R60","90.91","12.27","Top","0"
"R61","67.08","63.07","Top","0"
"R62","29.95","35.98","Top","0"
"R63","29.22","12.83","Top","270"
"R64","62.57","23.94","Top","270"
"R65","67.65","23.94","Top","270"
"IC6","22.46","10.83","Top","90"
