# Created by VisualPlace version 3.0.6164M at Mon Jul 27 18:03:28 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package"

"C1","","1.6518","0.9439","270.0","Top","0805"
"C2","","1.8635","0.9425","270.0","Top","0805"
"C3","","1.9635","0.7045","270.0","Top","0805"
"C4","","1.9635","0.9425","270.0","Top","0805"
"C5","","2.1635","0.7045","270.0","Top","0805"
"C6","","2.2638","0.9427","270.0","Top","0805"
"C7","","3.1772","1.2593","270.0","Top","0805"
"C8","","2.6885","1.2605","270.0","Top","0805"
"C9","","2.8635","0.7045","270.0","Top","0805"
"C10","","2.7635","0.9425","270.0","Top","0805"
"C11","","3.1535","2.5330","0.0","Top","0805"
"C12","","2.9972","1.3443","0.0","Top","0805"
"C13","","3.6005","3.4545","270.0","Top","0805"
"C15","","2.4255","3.4735","270.0","Top","0805"
"C18","","0.7635","1.2355","270.0","Top","0805"
"C19","","1.5255","1.6675","270.0","Top","0805"
"C20","","1.6505","1.6675","270.0","Top","0805"
"C23","","0.9980","1.2450","0.0","Top","0805"
"C24","","3.5790","0.6080","0.0","Top","0805"
"C25","","2.9635","0.9425","270.0","Top","0805"
"C26","","2.4635","0.7045","270.0","Top","0805"
"C27","","2.3635","0.9425","270.0","Top","0805"
"C28","","2.6635","0.7045","270.0","Top","0805"
"C29","","2.5635","0.9425","270.0","Top","0805"
"C16","","2.2138","3.4910","90.0","Top","1206"
"R1","","1.2540","0.9080","0.0","Top","0805"
"R2","","1.7635","0.9425","270.0","Top","0805"
"R3","","1.2540","0.8080","0.0","Top","0805"
"R4","","2.0635","0.9425","270.0","Top","0805"
"R6","","2.1635","0.9425","270.0","Top","0805"
"R7","","3.4355","1.2220","0.0","Top","0805"
"R8","","2.8288","1.2173","0.0","Top","0805"
"R9","","1.7385","3.2050","270.0","Top","0805"
"R10","","1.7385","3.5425","270.0","Top","0805"
"R11","","1.6385","3.2045","270.0","Top","0805"
"R12","","1.6385","3.5425","270.0","Top","0805"
"R13","","1.0755","3.5425","270.0","Top","0805"
"R14","","1.0755","3.2045","270.0","Top","0805"
"R15","","0.9635","3.5425","270.0","Top","0805"
"R16","","0.9635","3.2045","270.0","Top","0805"
"R21","","3.2872","1.2590","270.0","Top","0805"
"R22","","2.8635","0.9425","270.0","Top","0805"
"R23","","3.4230","2.1950","0.0","Top","0805"
"R24","","3.4230","2.2950","0.0","Top","0805"
"R25","","2.7855","2.3950","0.0","Top","0805"
"R27","","2.7855","2.1950","0.0","Top","0805"
"R29","","3.4230","1.5700","0.0","Top","0805"
"R30","","3.4230","1.6700","0.0","Top","0805"
"R31","","2.7855","1.5700","0.0","Top","0805"
"R32","","2.7855","1.7700","0.0","Top","0805"
"R35","","3.4230","2.3950","0.0","Top","0805"
"R36","","3.4230","1.7700","0.0","Top","0805"
"R37","","3.4230","2.0950","0.0","Top","0805"
"R38","","3.4230","1.4700","0.0","Top","0805"
"R39","","3.0730","0.4330","0.0","Top","0805"
"R40","","3.2670","0.4330","0.0","Top","0805"
"R41","","1.0505","1.4545","270.0","Top","0805"
"R48","","1.6505","2.5995","270.0","Top","0805"
"R49","","0.9635","2.5995","270.0","Top","0805"
"R50","","1.6505","2.8040","270.0","Top","0805"
"R51","","0.9635","2.8035","270.0","Top","0805"
"R54","","1.3480","1.4165","0.0","Top","0805"
"R55","","1.3135","2.5990","270.0","Top","0805"
"R56","","1.9885","2.5995","270.0","Top","0805"
"R57","","1.3135","2.8040","270.0","Top","0805"
"R58","","1.9885","2.8040","270.0","Top","0805"
"R59","","3.5790","0.9200","0.0","Top","0805"
"R60","","3.5790","0.4830","0.0","Top","0805"
"R61","","2.6410","2.4830","0.0","Top","0805"
"R62","","1.1790","1.4165","0.0","Top","0805"
"R63","","1.1505","0.5050","270.0","Top","0805"
"R64","","2.4635","0.9425","270.0","Top","0805"
"R65","","2.6635","0.9425","270.0","Top","0805"
"IC6","","0.8844","0.4265","90.0","Top","SOIC16"
"C30","","2.2160","2.8580","0.0","Top","0805"
