*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.4.5 (gnd)
*Date=19:43:46
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;70.0532;-84.4679;0;Bottom;Copper Fill444
2;;;21.0777;-22.1933;0;Bottom;Via147
3;;;22.6441;-84.6076;0;Bottom;Copper Fill89
4;;;71.0184;-9.2331;0;Bottom;Copper Fill436
5;;;59.4233;-61.2396;0;Bottom;Copper Fill531
6;;;87.5284;-89.2431;0;Bottom;Copper Fill232
7;;;36.9189;-86.538;0;Bottom;Copper Fill378
8;;;9.2837;-54.788;0;Bottom;Copper Fill218
9;;;5.2832;-33.0583;0;Bottom;Copper Fill149
10;;;32.3088;-9.2331;0;Bottom;Copper Fill586
11;;;54.8132;-80.6579;0;Bottom;Copper Fill403
12;;;94.6785;-27.7878;0;Bottom;Copper Fill140
13;;;49.9872;-74.1174;0;Bottom;Copper Fill18
14;;;14.4018;-22.0982;0;Bottom;Copper Fill338
15;;;67.9958;-27.0004;0;Bottom;Copper Fill60
16;;;97.3582;-42.5198;0;Bottom;Copper Fill302
17;;;9.7409;-51.3844;0;Bottom;Copper Fill505
18;;;84.2137;-21.0822;0;Bottom;Copper Fill190
19;;;8.37767;-26.3208;0;Bottom;Via129
20;;;87.1474;-23.0126;0;Bottom;Copper Fill334
21;;;14.6558;-14.0972;0;Bottom;Copper Fill351
22;;;38.1508;-65.2655;0;Bottom;Copper Fill518
23;;;15.0241;-8.4584;0;Bottom;Copper Fill131
24;;;68.8594;-33.2107;0;Bottom;Copper Fill544
25;;;94.4118;-75.5398;0;Bottom;Copper Fill8
26;;;15.0452;-7.90591;0;Bottom;Via151
27;;;49.9237;-22.53;0;Bottom;Copper Fill540
28;;;76.4794;-78.7402;0;Bottom;Copper Fill246
29;;;94.6785;-27.7878;0;Bottom;Copper Fill423
30;;;90.9574;-88.8875;0;Bottom;Copper Fill575
31;;;71.6788;-67.9579;0;Bottom;Copper Fill204
32;;;94.4118;-45.0598;0;Bottom;Copper Fill40
33;;;61.087;-78.0036;0;Bottom;Copper Fill249
34;;;70.0532;-84.4679;0;Bottom;Copper Fill161
35;;;87.7824;-58.3186;0;Bottom;Copper Fill19
36;;;25.5397;-75.997;0;Bottom;Copper Fill213
37;;;37.2237;-64.313;0;Bottom;Copper Fill517
38;;;17.3736;-74.0031;0;Bottom;Copper Fill364
39;;;20.4978;-26.0098;0;Bottom;Copper Fill62
40;;;17.8689;-73.5078;0;Bottom;Copper Fill87
41;;;12.5222;-50.7748;0;Bottom;Copper Fill276
42;;;87.6681;-67.1832;0;Bottom;Copper Fill201
43;;;37.3888;-86.0427;0;Bottom;Copper Fill381
44;1k;0805 [SMD];87.0452;-55.8483;180;Top;R23
45;;;5.2832;-33.0583;0;Bottom;Copper Fill432
46;470;0805 [SMD];71.9503;-31.0833;180;Top;R8
47;;;81.9785;-90.856;0;Bottom;Copper Fill238
48;;THT;64.8928;-10.1283;0;Bottom;5V
49;100k;0805 [SMD];27.4277;-81.4932;-90;Top;R14
50;;;43.0582;-51.5773;0;Bottom;TXT11
51;0.22µF;0805 [SMD, multilayer];65.2102;-24.0258;-90;Top;C29
52;;;41.9989;-13.6146;0;Bottom;Copper Fill576
53;;;41.9989;-64.6178;0;Bottom;Copper Fill482
54;;;94.4118;-62.8398;0;Bottom;Copper Fill21
55;;;22.4536;-42.5579;0;Bottom;Copper Fill394
56;;;60.0837;-22.53;0;Bottom;Copper Fill499
57;;;22.1234;-85.0775;0;Bottom;Copper Fill368
58;;;53.1452;-19.0184;0;Bottom;Via133
59;;;34.7472;-33.3758;0;Bottom;Copper Fill319
60;;;79.1718;-27.5084;0;Bottom;Copper Fill329
61;;;88.0237;-61.5444;0;Bottom;Copper Fill474
62;;;26.0604;-13.3606;0;Bottom;Copper Fill350
63;;;14.4018;-49.073;0;Bottom;Copper Fill292
64;;;94.4118;-60.2998;0;Bottom;Copper Fill272
65;;;87.6681;-34.1378;0;Bottom;Copper Fill135
66;;;41.0972;-10.1983;0;Bottom;Copper Fill568
67;;;14.3764;-19.5836;0;Bottom;Copper Fill68
68;;;17.6276;-44.7804;0;Bottom;Copper Fill39
69;;;39.5478;-75.7684;0;Bottom;Copper Fill256
70;;;9.9441;-90.348;0;Bottom;Copper Fill95
71;;;14.4018;-22.0982;0;Bottom;Copper Fill67
72;;;41.0972;-12.7383;0;Bottom;Copper Fill228
73;;;14.2494;-17.069;0;Bottom;Copper Fill71
74;;;90.6102;-31.0833;0;Bottom;Via117
