# Created by VisualPlace version 3.1.6179 at Tue Aug 11 20:32:00 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"

"C1","","1.7775","0.9705","90.0","Top","0805","SMD"
"C2","","1.9775","0.9705","90.0","Top","0805","SMD"
"C3","","2.1775","0.7345","90.0","Top","0805","SMD"
"C4","","2.0775","0.9705","90.0","Top","0805","SMD"
"C5","","2.2775","0.7345","90.0","Top","0805","SMD"
"C6","","2.3775","0.9705","90.0","Top","0805","SMD"
"C7","","2.7655","1.2700","90.0","Top","0805","SMD"
"C8","","2.3775","1.2705","90.0","Top","0805","SMD"
"C9","","2.6310","0.3730","0.0","Top","0805","SMD"
"C10","","2.9775","0.9700","90.0","Top","0805","SMD"
"C11","","2.4680","2.4105","0.0","Top","0805","SMD"
"C12","","3.1430","1.2855","0.0","Top","0805","SMD"
"C13","","2.7265","3.4640","90.0","Top","0805","SMD"
"C15","","3.1525","3.6075","90.0","Top","0805","SMD"
"C18","","0.5060","1.1980","0.0","Top","0805","SMD"
"C19","","0.2375","1.2355","0.0","Top","0805","SMD"
"C20","","0.2375","1.1355","0.0","Top","0805","SMD"
"C23","","1.1025","0.7825","90.0","Top","0805","SMD"
"C24","","2.9775","0.6385","90.0","Top","0805","SMD"
"C25","","2.8655","0.6395","90.0","Top","0805","SMD"
"C26","","2.5310","0.6355","0.0","Top","0805","SMD"
"C27","","2.4775","0.9700","90.0","Top","0805","SMD"
"C28","","2.6310","0.4980","0.0","Top","0805","SMD"
"C29","","2.7775","0.9700","90.0","Top","0805","SMD"
"C30","","2.2775","2.8200","90.0","Top","0805","SMD"
"C16","","3.3145","3.5900","270.0","Top","1206","SMD"
"R1","","1.8125","0.7355","0.0","Top","0805","SMD"
"R2","","1.8775","0.9705","90.0","Top","0805","SMD"
"R3","","1.8125","0.6480","0.0","Top","0805","SMD"
"R4","","2.1775","0.9700","90.0","Top","0805","SMD"
"R6","","2.2775","0.9705","90.0","Top","0805","SMD"
"R7","","3.4250","1.2320","0.0","Top","0805","SMD"
"R8","","2.6250","1.2320","0.0","Top","0805","SMD"
"R9","","1.3405","3.3075","90.0","Top","0805","SMD"
"R10","","1.3405","3.5950","90.0","Top","0805","SMD"
"R11","","1.2405","3.3075","90.0","Top","0805","SMD"
"R12","","1.2405","3.5950","90.0","Top","0805","SMD"
"R13","","0.6525","3.5950","90.0","Top","0805","SMD"
"R14","","0.6525","3.3075","90.0","Top","0805","SMD"
"R15","","0.5405","3.5950","90.0","Top","0805","SMD"
"R16","","0.5405","3.3075","90.0","Top","0805","SMD"
"R21","","2.8775","1.2700","90.0","Top","0805","SMD"
"R22","","2.8775","0.9700","90.0","Top","0805","SMD"
"R23","","3.4625","2.0355","0.0","Top","0805","SMD"
"R24","","3.4625","2.1355","0.0","Top","0805","SMD"
"R25","","2.8560","2.2855","0.0","Top","0805","SMD"
"R27","","2.8555","2.0830","0.0","Top","0805","SMD"
"R29","","3.4625","1.5730","0.0","Top","0805","SMD"
"R30","","3.4625","1.6730","0.0","Top","0805","SMD"
"R31","","2.8560","1.4980","0.0","Top","0805","SMD"
"R32","","2.8560","1.6980","0.0","Top","0805","SMD"
"R35","","3.4625","2.2355","0.0","Top","0805","SMD"
"R36","","3.4645","1.7720","0.0","Top","0805","SMD"
"R37","","3.4625","1.9355","0.0","Top","0805","SMD"
"R38","","3.4625","1.4730","0.0","Top","0805","SMD"
"R39","","3.0875","0.4480","0.0","Top","0805","SMD"
"R40","","3.2820","0.4480","0.0","Top","0805","SMD"
"R41","","0.5060","1.2980","0.0","Top","0805","SMD"
"R48","","1.7775","2.6205","90.0","Top","0805","SMD"
"R49","","1.1038","2.6189","90.0","Top","0805","SMD"
"R50","","1.7775","2.8135","90.0","Top","0805","SMD"
"R51","","1.1025","2.8135","90.0","Top","0805","SMD"
"R54","","1.4275","0.9575","90.0","Top","0805","SMD"
"R55","","1.4405","2.6200","90.0","Top","0805","SMD"
"R56","","2.1155","2.6200","90.0","Top","0805","SMD"
"R57","","1.4405","2.8135","90.0","Top","0805","SMD"
"R58","","2.1155","2.8135","90.0","Top","0805","SMD"
"R59","","3.5905","0.9450","90.0","Top","0805","SMD"
"R60","","3.5905","0.5450","90.0","Top","0805","SMD"
"R61","","2.5275","3.2255","90.0","Top","0805","SMD"
"R62","","1.2288","0.9606","90.0","Top","0805","SMD"
"R63","","0.4500","0.4355","0.0","Top","0805","SMD"
"R64","","2.5775","0.9700","90.0","Top","0805","SMD"
"R65","","2.6775","0.9700","90.0","Top","0805","SMD"
"R66","","2.6560","2.2855","0.0","Top","0805","SMD"
"R67","","2.6555","2.0860","0.0","Top","0805","SMD"
"R68","","2.6565","1.6980","0.0","Top","0805","SMD"
"R69","","2.6560","1.4980","0.0","Top","0805","SMD"
"R70","","0.0930","1.8605","0.0","Top","0805","SMD"
"R71","","0.0930","1.7230","0.0","Top","0805","SMD"
"R72","","0.0930","1.5855","0.0","Top","0805","SMD"
"R73","","0.0930","1.4480","0.0","Top","0805","SMD"
"D17","","0.4788","1.8585","180.0","Top","DO214AC","SMD"
"D18","","0.4788","1.7231","180.0","Top","DO214AC","SMD"
"D19","","0.4788","1.5835","180.0","Top","DO214AC","SMD"
"D20","","0.4830","1.4481","180.0","Top","DO214AC","SMD"
"LED1","","2.4680","2.2860","0.0","Top","0805","SMD"
"LED2","","2.4680","2.0860","0.0","Top","0805","SMD"
"LED3","","2.4680","1.6980","0.0","Top","0805","SMD"
"LED4","","2.4680","1.4980","0.0","Top","0805","SMD"
"LED5","","0.2625","1.8610","180.0","Top","0805","SMD"
"LED6","","0.2625","1.7230","180.0","Top","0805","SMD"
"LED7","","0.2625","1.5860","180.0","Top","0805","SMD"
"LED8","","0.2625","1.4480","180.0","Top","0805","SMD"
"IC6","","0.3725","0.7620","270.0","Top","SOIC16","SMD"
