*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.2.0
*Date=21:01:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;83.2358;-54.3562;0;Bottom;Copper Fill23
2;;THT;54.1497;-81.6369;90;Bottom;J204
3;;;7.4549;-34.8744;0;Bottom;Copper Fill113
4;0.22µF;0805 [SMD, multilayer];52.8797;-24.7319;-90;Top;C4
5;;;95.1071;-82.5895;0;Bottom;Via58
6;;;2.1844;-63.2843;0;Bottom;Copper Fill425
7;1k;0805 [SMD];31.6072;-91.4069;-90;Top;R12
8;;;36.6649;-65.1512;0;Bottom;Copper Fill473
9;2.49k;0805 [SMD];64.3097;-82.0269;-90;Top;R61
10;;;80.7593;-37.7192;0;Bottom;Copper Fill398
11;;;21.1328;-41.6308;0;Bottom;Copper Fill296
12;;THT;59.2297;-91.7969;90;Bottom;J188
13;;;94.7293;-28.8038;0;Bottom;Copper Fill416
14;470;0805 [SMD];73.1997;-24.7319;-90;Top;R22
15;;;60.96;-32.4614;0;Bottom;Copper Fill52
16;;;1.7621;-63.2219;0;Bottom;Via137
17;;;73.4441;-64.7194;0;Bottom;Copper Fill438
18;;;37.3888;-76.1748;0;Bottom;Copper Fill252
19;100k;0805 [SMD];53.8322;-66.6419;-90;Top;R56
20;;;18.0848;-50.47;0;Bottom;Copper Fill279
21;;;34.1471;-34.3294;0;Bottom;Via84
22;;;54.8894;-58.2043;0;Bottom;Copper Fill373
23;;;61.8744;-10.2491;0;Bottom;Copper Fill111
24;220;0805 [SMD];91.2972;-24.0969;-90;Top;R59
25;;;13.9192;-26.7591;0;Bottom;Copper Fill214
26;;;83.4136;-40.7291;0;Bottom;Copper Fill185
27;;;6.1849;-10.719;0;Bottom;Copper Fill427
28;;;61.214;-19.4439;0;Bottom;Copper Fill140
29;;;53.8988;-53.1243;0;Bottom;Copper Fill94
30;;;73.5584;-75.6414;0;Bottom;Copper Fill261
31;;;14.8844;-26.7591;0;Bottom;Copper Fill551
32;;;81.0641;-65.329;0;Bottom;Copper Fill101
33;;;73.1774;-71.933;0;Bottom;Copper Fill260
34;;;16.6497;-93.015;0;Bottom;Copper Fill449
35;;;58.4708;-36.5508;0;Bottom;Copper Fill44
36;;;94.5388;-82.6391;0;Bottom;Copper Fill106
37;;;72.0344;-92.1387;0;Bottom;Copper Fill570
38;;;57.4802;-41.0339;0;Bottom;Copper Fill531
39;;;62.2046;-54.7372;0;Bottom;Copper Fill274
40;;;60.4393;-23.2412;0;Bottom;Copper Fill478
41;;;88.8746;-47.0791;0;Bottom;Copper Fill367
42;;;84.5693;-21.4886;0;Bottom;Copper Fill517
43;;;84.3121;-46.7119;0;Bottom;Via135
44;;THT;95.1072;-20.6769;0;Bottom;JP2
45;;;16.9926;-52.0956;0;Bottom;Copper Fill277
46;;;34.5948;-34.3791;0;Bottom;Copper Fill397
47;100k;0805 [SMD];88.6846;-35.5994;180;Top;R38
