*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=19:41:40
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;59.2297;-89.5513;90;Bottom;J180
2;;;69.3293;-89.9416;0;Bottom;Copper Fill556
3;;THT;95.1072;-10.4938;180;Bottom;JP3
4;;;66.4845;-92.1768;0;Bottom;Copper Fill216
5;;;65.5193;-22.7078;0;Bottom;Copper Fill528
6;;;21.1074;-21.5902;0;Bottom;Copper Fill53
7;1k;0805 [SMD];88.1947;-41.2913;180;Top;R30
8;;;50.2793;-10.4142;0;Bottom;Copper Fill134
9;;;21.1328;-6.5026;0;Bottom;Copper Fill329
10;1k;0805 [SMD];13.8272;-84.3987;-90;Top;R16
11;;;81.0641;-38.9892;0;Bottom;Copper Fill393
12;;;21.1074;-24.1302;0;Bottom;Copper Fill309
13;;300 mil [THT];66.5322;-89.2592;90;Bottom;D16
14;;;71.0946;-69.0628;0;Bottom;Copper Fill255
15;;;41.5798;-22.2887;0;Bottom;Copper Fill144
16;;;29.8958;-81.5342;0;Bottom;Copper Fill228
17;;THT;69.0722;-68.9138;0;Bottom;JP1
18;3.9k;0805 [SMD];87.0971;-31.6713;180;Top;R7
19;;;55.2196;-38.4939;0;Bottom;Copper Fill423
20;;;34.1249;-35.1792;0;Bottom;Copper Fill389
21;;;88.7984;-40.437;0;Bottom;Copper Fill282
22;;;88.3793;-46.8886;0;Bottom;Copper Fill359
23;;;58.4454;-71.0567;0;Bottom;Copper Fill481
24;;;41.0845;-22.784;0;Bottom;Copper Fill141
25;;;56.6928;-78.5116;0;Bottom;Copper Fill240
26;;;14.7193;-28.5244;0;Bottom;Copper Fill541
27;;;76.0571;-23.1938;0;Bottom;Via75
28;;;83.1088;-41.3387;0;Bottom;Copper Fill498
29;;THT;49.0697;-89.5513;90;Bottom;J189
30;;;54.8894;-53.4291;0;Bottom;Copper Fill99
31;470;0805 [SMD];55.4197;-23.9013;-90;Top;R4
