"Designator","mid x","mid y",";ayer","Rotation"
"C1","42.30","24.52","Top","270"
"C2","47.77","24.50","Top","270"
"C3","50.22","18.49","Top","270"
"C4","50.23","24.52","Top","270"
"C5","55.31","18.49","Top","270"
"C6","57.85","24.52","Top","270"
"C7","76.90","32.60","Top","270"
"C8","68.64","32.60","Top","270"
"C9","73.09","11.82","Top","270"
"C10","70.55","24.52","Top","270"
"C11","81.91","65.23","Top","0"
"C12","75.25","49.35","Top","0"
"C13","90.56","88.98","Top","270"
"C15","57.54","88.34","Top","270"
"C19","42.23","39.83","Top","0"
"C20","42.23","37.29","Top","0"
"C23","25.72","32.21","Top","0"
"C24","95.25","15.39","Top","0"
"C25","75.63","24.52","Top","270"
"C26","62.93","16.90","Top","270"
"C27","60.39","24.52","Top","270"
"C28","68.01","15.32","Top","270"
"C29","65.47","24.52","Top","270"
"C14","85.88","89.50","Top","90"
"R1","32.21","23.65","Top","0"
"R2","45.15","24.52","Top","270"
"R3","32.21","21.11","Top","0"
"R4","52.77","24.52","Top","270"
"R6","55.31","24.52","Top","270"
"R7","87.63","31.62","Top","0"
"R8","72.85","31.62","Top","0"
"R9","44.40","81.99","Top","270"
"R10","44.51","90.56","Top","270"
"R11","41.97","81.99","Top","270"
"R12","41.97","90.56","Top","270"
"R13","27.70","90.56","Top","270"
"R14","27.70","81.99","Top","270"
"R15","24.83","90.56","Top","270"
"R16","24.83","81.99","Top","270"
"R21","80.07","32.60","Top","270"
"R22","73.09","24.52","Top","270"
"R23","87.95","56.03","Top","0"
"R24","87.95","58.57","Top","0"
"R25","72.07","59.51","Top","0"
"R27","72.07","56.03","Top","0"
"R29","87.95","40.79","Top","0"
"R30","87.95","43.33","Top","0"
"R31","72.07","43.64","Top","0"
"R32","72.07","45.87","Top","0"
"R35","87.95","61.11","Top","0"
"R36","87.95","45.87","Top","0"
"R37","86.98","51.35","Top","270"
"R38","87.95","35.71","Top","0"
"R39","78.42","11.58","Top","0"
"R40","83.36","11.58","Top","0"
"R41","27.06","37.54","Top","270"
"R48","50.56","66.75","Top","270"
"R49","28.00","66.75","Top","270"
"R50","50.56","71.67","Top","270"
"R51","28.00","71.67","Top","270"
"R54","34.61","36.58","Top","0"
"R55","39.11","66.64","Top","270"
"R56","61.66","66.75","Top","270"
"R57","39.13","71.67","Top","270"
"R58","61.66","71.67","Top","270"
"R59","91.20","24.21","Top","270"
"R60","91.20","14.05","Top","270"
"R61","65.09","62.69","Top","0"
"R62","30.30","36.58","Top","0"
"R63","37.15","17.60","Top","0"
"R64","62.93","24.52","Top","270"
"R65","68.01","24.52","Top","270"
