*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.4.5 (gnd)
*Date=18:40:24
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;66.4802;-91.7259;0;Bottom;Via166
2;;;68.7324;-48.8444;0;Bottom;Copper Fill288
3;;;25.1206;-35.357;0;Bottom;Copper Fill311
4;;;27.3685;-83.0836;0;Bottom;Copper Fill468
5;;;41.4528;-38.7098;0;Bottom;Copper Fill295
6;;;22.4536;-42.5579;0;Bottom;Copper Fill392
7;;;92.7608;-18.3898;0;Bottom;Copper Fill339
8;;;49.2506;-90.1575;0;Bottom;Copper Fill550
9;;;22.6441;-85.5982;0;Bottom;Copper Fill364
10;;;86.7537;-88.4684;0;Bottom;Copper Fill585
11;;THT;64.8928;-10.1283;0;Bottom;5V
12;;;3.61517;-85.6934;0;Bottom;Via23
13;;;76.4794;-78.7402;0;Bottom;Copper Fill247
14;;;84.2137;-22.784;0;Bottom;Copper Fill511
15;;;14.4018;-57.0994;0;Bottom;Copper Fill24
16;1k;0805 [SMD];24.5702;-71.3058;90;Top;R51
17;;;17.6784;-32.2074;0;Bottom;Copper Fill52
18;;;49.9872;-71.6028;0;Bottom;Copper Fill242
19;;;60.0837;-70.3836;0;Bottom;Copper Fill103
20;;;71.2089;-37.008;0;Bottom;Copper Fill444
21;;;71.6788;-36.5127;0;Bottom;Copper Fill167
22;;;70.0532;-84.4679;0;Bottom;Copper Fill162
23;;;94.7377;-28.2258;0;Bottom;Via148
24;;;71.9836;-9.2331;0;Bottom;Copper Fill155
25;10k;0805 [SMD];34.3402;-36.0683;180;Top;R54
26;;;14.1478;-44.5264;0;Bottom;Copper Fill41
27;10µF;A 3216 [SMD, tantalum];56.3202;-88.7383;-90;Top;C16
28;;;76.0476;-33.2107;0;Bottom;Copper Fill559
29;;;78.8289;-39.2432;0;Bottom;Copper Fill353
30;;;49.1236;-44.7931;0;Bottom;Copper Fill450
31;;;9.7536;-55.2579;0;Bottom;Copper Fill221
32;;THT;53.4628;-7.58831;90;Bottom;J147
33;;;12.1285;-78.918;0;Bottom;Copper Fill387
34;;;55.5244;-17.0055;0;Bottom;Copper Fill461
35;;;47.4302;-28.5433;0;Bottom;Via140
36;;;85.9536;-89.2431;0;Bottom;Copper Fill586
37;;;60.5536;-69.8883;0;Bottom;Copper Fill106
38;;;86.7537;-90.0432;0;Bottom;Copper Fill230
39;;;94.4118;-42.5198;0;Bottom;Copper Fill300
40;;;14.4018;-51.5622;0;Bottom;Copper Fill28
41;;;72.7837;-16.5102;0;Bottom;Copper Fill552
42;;;81.6864;-12.6494;0;Bottom;Copper Fill348
43;;;51.9176;-41.5927;0;Bottom;Copper Fill522
44;;;8.8138;-26.3527;0;Bottom;Copper Fill175
45;;TO220 [THT];47.3668;-67.7408;90;Bottom;Q6
46;;;87.6681;-48.7428;0;Bottom;Copper Fill407
47;;;14.4018;-22.0982;0;Bottom;Copper Fill67
48;;;71.0184;-9.2331;0;Bottom;Copper Fill434
49;;so08;31.9491;-43.4658;90;Top;U4
50;;SO16 [SMD];22.654;-10.9792;0;Top;IC6
51;;;88.0237;-61.5444;0;Bottom;Copper Fill473
52;470;0805 [SMD];55.0502;-24.0258;-90;Top;R6
53;;;58.8518;-75.7684;0;Bottom;Copper Fill3
54;;;44.7294;-82.5375;0;Bottom;Copper Fill463
55;;;73.7616;-78.7402;0;Bottom;Copper Fill246
56;;;8.7884;-55.2579;0;Bottom;Copper Fill567
57;;;38.9636;-23.5079;0;Bottom;Copper Fill121
58;;;22.4536;-42.5579;0;Bottom;Copper Fill115
59;;;97.3582;-47.5744;0;Bottom;Copper Fill34
60;;;15.494;-7.9631;0;Bottom;Copper Fill134
61;;;91.9861;-16.1292;0;Bottom;Copper Fill542
62;;;48.1584;-44.7931;0;Bottom;Copper Fill170
63;;;94.4118;-47.5998;0;Bottom;Copper Fill292
64;;;34.7472;-33.3758;0;Bottom;Copper Fill314
65;1k;0805 [SMD];79.8152;-32.1083;-90;Top;R21
