"Designator","X(mm)","Y(mm)","Side","Rotation"
"C1","45.15","23.81","Top","90"
"C2","50.23","23.81","Top","90"
"C3","55.31","13.20","Top","90"
"C4","52.77","23.81","Top","90"
"C5","58.88","14.22","Top","0"
"C6","60.39","23.81","Top","90"
"C7","70.26","32.55","Top","90"
"C8","60.39","32.65","Top","90"
"C9","66.50","19.30","Top","0"
"C10","66.50","23.11","Top","0"
"C11","62.68","61.55","Top","0"
"C12","79.35","33.32","Top","0"
"C13","69.28","88.27","Top","90"
"C15","80.07","91.94","Top","90"
"C18","8.65","40.17","Top","90"
"C19","13.65","53.26","Top","0"
"C20","13.65","50.72","Top","0"
"C23","28.00","20.18","Top","90"
"C24","74.99","15.71","Top","90"
"C25","72.15","15.74","Top","90"
"C16","87.39","89.66","Top","90"
"R1","46.18","18.34","Top","0"
"R2","47.69","23.81","Top","90"
"R3","48.26","14.22","Top","0"
"R4","55.31","23.81","Top","90"
"R6","57.85","23.81","Top","90"
"R7","86.93","31.65","Top","0"
"R8","66.56","31.65","Top","0"
"R9","34.02","85.10","Top","90"
"R10","34.05","92.39","Top","90"
"R11","31.51","85.09","Top","90"
"R12","31.51","92.39","Top","90"
"R13","16.57","92.39","Top","90"
"R14","16.57","85.09","Top","90"
"R15","13.73","92.39","Top","90"
"R16","13.73","85.10","Top","90"
"R21","73.07","32.60","Top","90"
"R22","70.55","22.22","Top","90"
"R23","87.95","53.26","Top","0"
"R24","87.95","55.80","Top","0"
"R25","72.49","58.32","Top","0"
"R27","72.49","53.24","Top","0"
"R29","88.09","38.66","Top","0"
"R30","88.09","41.20","Top","0"
"R31","72.54","38.63","Top","0"
"R32","72.54","43.45","Top","0"
"R35","87.95","58.34","Top","0"
"R36","88.09","43.74","Top","0"
"R37","87.95","50.72","Top","0"
"R38","88.09","36.12","Top","0"
"R39","78.47","11.72","Top","0"
"R40","83.36","11.68","Top","0"
"R41","8.65","44.95","Top","90"
"R48","50.56","66.84","Top","90"
"R49","28.00","66.84","Top","90"
"R50","50.56","71.75","Top","90"
"R51","28.00","71.75","Top","90"
"R54","36.26","24.63","Top","90"
"R55","39.13","66.84","Top","90"
"R56","61.66","66.84","Top","90"
"R57","39.13","71.75","Top","90"
"R58","61.66","71.75","Top","90"
"R59","91.20","24.30","Top","90"
"R60","91.20","14.14","Top","90"
"R61","64.20","82.23","Top","90"
"R62","31.18","24.63","Top","90"
"R63","11.43","11.35","Top","0"
"R66","67.46","58.32","Top","0"
"R67","67.51","53.29","Top","0"
"R68","67.46","43.43","Top","0"
"R69","67.46","38.66","Top","0"
"LED1","62.69","58.34","Top","0"
"LED2","62.69","53.26","Top","0"
"LED3","62.69","43.43","Top","0"
"LED4","62.69","38.66","Top","0"
"IC6","9.52","19.58","Top","0"
