# Created by VisualPlace version 3.0.6164M at Mon Jul 27 12:02:03 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package"

"C1","","1.7775","0.9375","90.0","Top","0805"
"C2","","1.9775","0.9375","90.0","Top","0805"
"C3","","2.1775","0.5195","90.0","Top","0805"
"C4","","2.0775","0.9375","90.0","Top","0805"
"C5","","2.3180","0.5600","0.0","Top","0805"
"C6","","2.3775","0.9375","90.0","Top","0805"
"C7","","2.7663","1.2814","90.0","Top","0805"
"C8","","2.3775","1.2855","90.0","Top","0805"
"C9","","2.6180","0.7600","0.0","Top","0805"
"C10","","2.6180","0.9100","0.0","Top","0805"
"C11","","2.4677","2.4231","0.0","Top","0805"
"C12","","3.1240","1.3120","0.0","Top","0805"
"C13","","2.7275","3.4750","90.0","Top","0805"
"C15","","3.1525","3.6195","90.0","Top","0805"
"C18","","0.3405","1.5815","90.0","Top","0805"
"C19","","0.5375","2.0970","0.0","Top","0805"
"C20","","0.5375","1.9970","0.0","Top","0805"
"C23","","1.1025","0.7945","90.0","Top","0805"
"C24","","2.9525","0.6185","90.0","Top","0805"
"C25","","2.8405","0.6195","90.0","Top","0805"
"C30","","2.2775","2.8315","90.0","Top","0805"
"C16","","3.3163","3.6043","90.0","Top","1206"
"R1","","1.8180","0.7220","0.0","Top","0805"
"R2","","1.8775","0.9375","90.0","Top","0805"
"R3","","1.9000","0.5600","0.0","Top","0805"
"R4","","2.1775","0.9375","90.0","Top","0805"
"R6","","2.2775","0.9375","90.0","Top","0805"
"R7","","3.4226","1.2460","0.0","Top","0805"
"R8","","2.6205","1.2460","0.0","Top","0805"
"R9","","1.3393","3.3137","90.0","Top","0805"
"R10","","1.3393","3.6054","90.0","Top","0805"
"R11","","1.2403","3.3137","90.0","Top","0805"
"R12","","1.2429","3.6080","90.0","Top","0805"
"R13","","0.6518","3.6028","90.0","Top","0805"
"R14","","0.6518","3.3137","90.0","Top","0805"
"R15","","0.5398","3.6028","90.0","Top","0805"
"R16","","0.5398","3.3163","90.0","Top","0805"
"R21","","2.8768","1.2835","90.0","Top","0805"
"R22","","2.7775","0.8750","90.0","Top","0805"
"R23","","3.4625","2.0970","0.0","Top","0805"
"R24","","3.4625","2.1970","0.0","Top","0805"
"R25","","2.8538","2.2960","0.0","Top","0805"
"R27","","2.8538","2.0960","0.0","Top","0805"
"R29","","3.4680","1.5220","0.0","Top","0805"
"R30","","3.4680","1.6220","0.0","Top","0805"
"R31","","2.8559","1.5210","0.0","Top","0805"
"R32","","2.8559","1.7106","0.0","Top","0805"
"R35","","3.4625","2.2970","0.0","Top","0805"
"R36","","3.4680","1.7220","0.0","Top","0805"
"R37","","3.4625","1.9970","0.0","Top","0805"
"R38","","3.4680","1.4220","0.0","Top","0805"
"R39","","3.0893","0.4613","0.0","Top","0805"
"R40","","3.2820","0.4600","0.0","Top","0805"
"R41","","0.3405","1.7695","90.0","Top","0805"
"R48","","1.7768","2.6314","90.0","Top","0805"
"R49","","1.1025","2.6315","90.0","Top","0805"
"R50","","1.7768","2.8252","90.0","Top","0805"
"R51","","1.1025","2.8250","90.0","Top","0805"
"R54","","1.4275","0.9695","90.0","Top","0805"
"R55","","1.4393","2.6314","90.0","Top","0805"
"R56","","2.1163","2.6314","90.0","Top","0805"
"R57","","1.4413","2.8252","90.0","Top","0805"
"R58","","2.1163","2.8231","90.0","Top","0805"
"R59","","3.5905","0.9565","90.0","Top","0805"
"R60","","3.5905","0.5565","90.0","Top","0805"
"R61","","2.5275","3.2375","90.0","Top","0805"
"R62","","1.2275","0.9695","90.0","Top","0805"
"R63","","0.4500","0.4470","0.0","Top","0805"
"R66","","2.6559","2.2960","0.0","Top","0805"
"R67","","2.6580","2.0981","0.0","Top","0805"
"R68","","2.6560","1.7100","0.0","Top","0805"
"R69","","2.6560","1.5220","0.0","Top","0805"
"LED1","","2.4680","2.2970","0.0","Top","0805"
"LED2","","2.4680","2.0970","0.0","Top","0805"
"LED3","","2.4680","1.7100","0.0","Top","0805"
"LED4","","2.4680","1.5220","0.0","Top","0805"
"IC6","","0.3747","0.7710","0.0","Top","SOIC16"
