*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=v1.0.8 (Grounded)
*Date=14:52:36
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;2.0193;-64.3384;0;Bottom;Copper Fill77
2;;;32.3342;-16.5991;0;Bottom;Copper Fill385
3;;;65.5193;-22.7078;0;Bottom;Copper Fill500
4;;;39.9288;-78.5116;0;Bottom;Copper Fill221
5;;;15.748;-48.2856;0;Bottom;Copper Fill26
6;;;40.1193;-28.4482;0;Bottom;Copper Fill190
7;;;75.4888;-23.2539;0;Bottom;Copper Fill118
8;470;0805 [SMD];8.74716;-45.0288;90;Top;R41
9;;;21.1074;-46.9902;0;Bottom;Copper Fill29
10;;;90.551;-91.4783;0;Bottom;Copper Fill523
11;;;35.4171;-58.1188;0;Bottom;Via100
12;;;89.789;-60.1474;0;Bottom;Copper Fill16
13;;THT;51.6097;-92.0913;90;Bottom;J194
14;;;94.7928;-68.6056;0;Bottom;Copper Fill243
15;;;95.9993;-92.9896;0;Bottom;Copper Fill181
16;0.1µF;0805 [SMD, multilayer];45.2597;-23.9013;90;Top;C1
17;;;21.1074;-8.8902;0;Bottom;Copper Fill314
18;;;54.3941;-53.9244;0;Bottom;Copper Fill346
19;;;21.1074;-41.9102;0;Bottom;Copper Fill269
20;;;87.4871;-91.1389;0;Bottom;Via23
21;;;50.7746;-9.9443;0;Bottom;Copper Fill382
22;;;54.3941;-59.0044;0;Bottom;Copper Fill349
23;;;81.5594;-66.0783;0;Bottom;Copper Fill105
24;;;2.0193;-64.3384;0;Bottom;Copper Fill327
25;;;54.3941;-58.0138;0;Bottom;Copper Fill99
26;;;41.3766;-65.7735;0;Bottom;Copper Fill475
27;;;44.6532;-65.9767;0;Bottom;Copper Fill430
28;;;17.5006;-18.6692;0;Bottom;Copper Fill300
29;;;42.6593;-28.4482;0;Bottom;Copper Fill187
30;;;80.8228;-20.7266;0;Bottom;Copper Fill298
31;;;37.3888;-78.5116;0;Bottom;Copper Fill220
32;;;31.8897;-64.8464;0;Bottom;Copper Fill174
33;;;94.7928;-35.5856;0;Bottom;Copper Fill42
34;;;97.7138;-43.2056;0;Bottom;Copper Fill265
35;;THT;51.6097;-84.4713;90;Bottom;J170
36;;;87.4141;-90.7036;0;Bottom;Copper Fill335
37;100k;0805 [SMD];28.1147;-66.9363;-90;Top;R49
38;470;0805 [SMD];55.4197;-23.9013;-90;Top;R4
39;;;23.5712;-19.0756;0;Bottom;Copper Fill54
40;;THT;56.6897;-87.0113;90;Bottom;J169
41;;;54.8894;-53.4291;0;Bottom;Copper Fill348
42;100k;0805 [SMD];88.0496;-58.4363;180;Top;R35
43;;;90.551;-91.4783;0;Bottom;Copper Fill197
44;10k;0805 [SMD];11.5321;-11.4462;0;Top;R63
45;;;80.5688;-38.4939;0;Bottom;Copper Fill131
46;;;88.4396;-47.3238;0;Bottom;Via38
47;;;50.2793;-9.449;0;Bottom;Copper Fill133
48;;;24.0538;-8.941;0;Bottom;Copper Fill313
49;;;60.9854;-33.7187;0;Bottom;Copper Fill498
50;;;45.1993;-65.456;0;Bottom;Copper Fill429
51;;;95.9993;-33.5282;0;Bottom;Copper Fill456
52;0.22µF;0805 [SMD, multilayer];66.6047;-23.1938;0;Top;C10
53;;;52.0446;-18.7835;0;Bottom;Copper Fill333
54;;TO220 [THT];50.5937;-68.2788;90;Bottom;Q6
