*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4.3c (Modded)
*Date=21:16:00
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;48.6029;-45.6948;0;Bottom;Copper Fill465
2;;;69.088;-89.6495;0;Bottom;Copper Fill309
3;;3 mm [THT];13.7698;-89.0564;0;Bottom;LED3
4;;;63.5;-88.1128;0;Bottom;Copper Fill332
5;;3 mm [THT];63.9672;-38.1768;90;Bottom;LED8
6;;;72.5932;-63.6399;0;Bottom;Copper Fill238
7;;;17.653;-64.9099;0;Bottom;Copper Fill184
8;;;17.6369;-22.2012;0;Bottom;TXT12
9;;THT;4.8562;-34.367;0;Bottom;J65
10;;;74.7776;-59.8299;0;Bottom;Copper Fill281
11;;;30.2133;-35.8396;0;Bottom;Copper Fill229
12;;;97.663;-41.58;0;Bottom;Copper Fill63
13;;THT;4.8562;-31.827;0;Bottom;J64 (Eth)
14;;;38.1508;-59.6902;0;Bottom;Copper Fill370
15;;TO220 [THT];49.9412;-55.068;180;Bottom;Q8
16;;;95.0214;-62.9414;0;Bottom;Copper Fill42
17;;;95.0214;-37.5414;0;Bottom;Copper Fill407
18;;;44.2976;-85.2426;0;Bottom;Copper Fill333
19;;;55.7276;-75.0699;0;Bottom;Copper Fill291
20;;;59.1312;-78.1814;0;Bottom;Copper Fill338
21;;;88.138;-68.7199;0;Bottom;Copper Fill198
22;;;64.5461;-76.277;0;Bottom;Via19
23;;;3.4544;-15.2402;0;Bottom;Copper Fill442
24;;;51.8414;-25.0446;0;Bottom;Copper Fill111
25;;;72.7329;-44.0946;0;Bottom;Copper Fill175
26;;;17.7577;-19.7821;0;Bottom;TXT12
27;0.22µF;200 mil [THT, multilayer];39.1462;-39.447;90;Bottom;C8
28;;;90.17;-38.1764;0;Bottom;Copper Fill84
29;0.1µF;200 mil [THT, multilayer];64.5462;-8.33196;180;Bottom;C5
30;;;4.2211;-67.387;0;Bottom;Via16
31;;;27.0129;-9.5252;0;Bottom;Copper Fill459
32;;;29.6164;-46.1012;0;Bottom;Copper Fill58
33;100k;THT;85.5012;-51.512;180;Bottom;R37
34;;;41.402;-95.9995;0;Bottom;Copper Fill206
35;;;27.813;-49.1746;0;Bottom;Copper Fill378
36;;;74.6506;-11.989;0;Bottom;Copper Fill131
37;;;87.6046;-32.4868;0;Bottom;Copper Fill415
38;;;7.3533;-46.66;0;Bottom;Copper Fill314
39;;THT;15.0162;-19.127;0;Bottom;J16
40;;;97.3328;-37.5414;0;Bottom;Copper Fill408
41;0.1µF;200 mil [THT, multilayer];39.7812;-9.60196;180;Bottom;C3
